numero	nombre	tema	descripcion	proponente	partido	comision	fecha_turno	fecha_votacion	estado	recursos_adicionales
48	Proyecto de decreto que reforma, adiciona y deroga diversas disposiciones de la Ley Federal Contra la Delincuencia Organizada, del Código Federal de Procedimientos Penales, de la Ley Orgánica de la Procuraduría General de la República, de la Ley Orgánica del Poder Judicial de la Federación, y de la Ley de Amparo Reglamentaria de los Artículos 103 y 107 de la Constitución Política de los Estados Unidos Mexicanos.	procedimientos penales	Delimitar y precisar la figura del arraigo, así como su procedimiento. 	Víctor Humberto Benítez Treviño	PRI	Justicia	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-II.html#Iniciativa25
49	Proyecto de decreto que expide la Ley de Emergencia contra los Feminicidios, y reforma el artículo 194 del Código Federal de Procedimientos Penales.	procedimientos penales, violencia de género	Crear un ordenamiento jurídico, con el objeto de prevenir, sancionar y erradicar los feminicidios , definir el delito de feminicidio.	Mary Telma Guajardo Villarreal	PRD	Justicia con Opinión de Presupuesto y Cuenta Pública	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-IV.html#Iniciativa2
50	Proyecto de decreto que reforma, adiciona y deroga diversas disposiciones de la Ley General del Sistema de Medios de Impugnación en Materia Electoral.	elecciones	Otorgar el derecho a los ciudadanos en lo individual o colectivamente para promover la presentación de los medios de impugnación.	Jaime Fernando Cárdenas Gracia	PT	Justicia, Gobernación	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-II.html#Iniciativa6ç
51	Proyecto de decreto que reforma diversas disposiciones del Código Federal de Procedimientos Penales, de la Ley Orgánica de la Procuraduría General de la República, de la Ley Federal de Defensoría Pública, y de la Ley que Establece las Normas Mínimas Sobre Readaptación Social de Sentenciados.	equidad de género, procedimientos penales	Incorporar la perspectiva de género durante el desarrollo de la averiguación previa, así como durante todo el proceso penal. 	Laura Elena Estrada Rodríguez	PAN	Justicia, Seguridad Pública	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110215-VIII.html#Iniciativa8
52	Proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley General de Población.	migración	La oficina migratoria realizará los trámites pertinentes para la legal estancia de los extranjeros y el transito temporal de los migrantes.	Diva Hadamira Gastélum Bajo	PRI	Población, Fronteras y Asuntos Migratorios	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110224-IV.html#Iniciativa16
53	Que reforma el artículo 4o. de la Constitución Política de los Estados Unidos Mexicanos, para que todos lo bebés de México reciban atención médica gratuita, sin condiciones ni restricciones, en todas las instituciones que reciban aportes del Estado mexicano.	derecho a la salud	Los menores de 1 año de vida tendrán derecho a recibir atención médica gratuita en las instituciones de salud que reciban recursos públicos.	José del Pilar Córdova Hernández	PRI	Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-I.html#Iniciativa17
54	Que reforma los artículos 55 y 58 de la Constitución Política de los Estados Unidos Mexicanos	diputados, senadores	Establecer como requisito para ser diputado o senador tener el título profesional de educación superior	Guillermo Cueva Sada	PVEM	Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-I.html#Iniciativa18
55	Que reforma los artículos 108 y 110 de la Constitución Política de los Estados Unidos Mexicanos	control legislativo, rendición de cuentas 	El Presidente de la República podrá ser sujeto de juicio político y de responsabilidad administrativa, civil o penal, durante su mandato	Omar Fayad Meneses	PRI	Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-I.html#Iniciativa28
56	Que reforma el artículo 113 de la Constitución Política de los Estados Unidos Mexicanos	justicia, poder judicial	Los daños causados por error judicial o deficiencias en la administración de justicia darán derecho a una indemnización para los afectados	Víctor Manuel Báez Ceja	PRD	Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-II.html#Iniciativa5
57	Que reforma el artículo 93 de la Constitución Política de los Estados Unidos Mexicanos.	control legislativo, participación ciudadana	Gpos parlamentarios podrán crear comisiones d investigación sin autorización dl pleno y a petición ciudadana sobre asuntos d interés público	Jaime Fernando Cárdenas Gracia	PT	Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-III.html#Iniciativa8
58	Que reforma el artículo 61 de la Constitución Política de los Estados Unidos Mexicanos	diputados, senadores	Prohibir mandato imperativo sobre legisladores. El estatuto de los legisladores de las Cámaras se regulará sólo por la Ley del Congreso	Jaime Fernando Cárdenas Gracia	PT	Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-IV.html#Iniciativa21
59	Que reforma el artículo 89 de la Constitución Política de los Estados Unidos Mexicanos	administración pública federal	Elaborar reglamentos es facultad exclusiva del Poder Ejecutivo. Los reglamentos deberán establecer el modo de ejecución de la ley	Jaime Fernando Cárdenas Gracia	PT	Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110301-III.html#Iniciativa8
60	Que reforma los artículos 52 a 54 y 56 de la Constitución Política de los Estados Unidos Mexicanos	diputados, senadores, reforma política	Reducir de 200 a 100 diputados de representación proporcional y eliminar los senadores elegidos mediante éste principio	Arturo Zamora Jiménez	PRI	Puntos Constitucionales	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-IV.html#Iniciativa34
61	Proyecto de decreto que reforma, adiciona y deroga diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos, de la Ley Orgánica de la Administración Pública Federal, de la Ley Federal de Telecomunicaciones, de la Ley Federal de Competencia Económica, de la Ley de la Comision Reguladora de Energía, de la Ley de la Comision Nacional Bancaria y de Valores, de la Ley Federal de Instituciones de Fianzas, de la Ley General de Instituciones y Sociedades Mutualistas de Seguros, de la Ley de los Sistemas de Ahorro para el Retiro, y la de Ley del Servicio Profesional de Carrera en la Administración Pública Federal.	administración pública federal	Crear Órganos Reguladores en la Administración Pública Centralizada que contarán con autonomía técnica, operativa, de gestión, de decisión y presupuestal. 	Alberto Emiliano Cinta Martínez	PVEM	Puntos Constitucionales, Gobernación, Hacienda y Crédito Público	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-I.html#Iniciativa23
62	Que reforma el artículo 17 de la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos	diputados, trabajo legislativo	La Mesa Directiva de la C. d Diputados la presidirá diputad@ d distinto Gpo Parlamentario del q presida la JUCOPO en 1 mismo año legislativo	Alejandro Encinas Rodríguez, José Luis Jaime Correa	PRD, PRD	Régimen, Reglamentos y Prácticas Parlamentarias	3/1/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110301-III.html#Iniciativa2
63	Proyecto de decreto que reforma los artículos 28, 37 y 43 de la Ley de los Derechos de las Personas Adultas Mayores.	derechos de las personas adultas mayores	Reformar la Ley de los Derechos de las Personas Adultas Mayores.	Ana Georgina Zapata Lucero 	PRI	Atención a Grupos Vulnerables	3/3/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-III.html#Iniciativa1
64	Que reforma los artículos 3o. y 47 de la Ley Orgánica de la Administración Pública Federal, y 9o. de la Ley Federal de Presupuesto y Responsabilidad Hacendaria, relativa a la constitución y operacion de los fideicomisos públicos.	finanzas públicas, fideicomisos	Los fideicomisos deberán aprobarse previamente por Cámara de Diputados, igual q los propuestos por la SHCP que no son considerados entidades	Mario Alberto di Costanzo Armenta	PT	Gobernación	3/3/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110224-IV.html#Iniciativa9
65	Proyecto de Decreto que deroga la fracción III del artículo 39 del Código Fiscal de la Federación.	subsidios 	Suprimir la facultad concedida al Ejecutivo Federal para que mediante resoluciones de carácter general conceda subsidios o estímulos fiscales.	Pablo Gómez Álvarez (Senadores)		Hacienda y Crédito Público	3/3/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110303-I.html#IniciativaSenadores1
66	Proyecto de Decreto que adiciona el artículo 2o. de la Ley del Impuesto Empresarial a Tasa Única.	presupuesto, educación	Las escuelas particulares que impartan educación, podrán pagar el impuesto empresarial a tasa única mediante el otorgamiento de becas.	Felipe González González (Senadores)		Hacienda y Crédito Público	3/3/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110303-I.html#IniciativaSenadores2
67	Proyecto de decreto que reforma el artículo 222 de la Ley del Impuesto Sobre la Renta.	presupuesto, derechos de las personas con capacidades diferentes	El patrón que contrate a personas con condición física limitada podrá deducir de sus ingresos, un 100% del Impuesto sobre la Renta de estos trabajadores retenido y enterado.	Ovidio Cortazar Ramos	PAN	Hacienda y Crédito Público	3/3/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110303-VII.html#Iniciativa5
68	Que reforma y adiciona diversas disposiciones de la Ley Federal de Presupuesto y Responsabilidad Hacendaria, para que el Ejecutivo federal, a través de la Secretaría de Hacienda y Crédito Público, defina una metodología de mediano plazo para la determinación de las cuotas y porcentajes que del presupuesto de los programas presupuestarios y/o unidades responsables son utilizados en la integración de los anexos transversales.	presupuesto, equidadde género	Definir Anexos transversales y calendarios. Incluir en anteproyectos y proyectos perspectiva de género y no reducir inversiones de inclusión		PRI, PRD, PRI, PRD, PRD, PRI, PVEM, PT, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PVEM, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PRI, PAN, Nueva Alianza, PAN, PAN, PRD	Presupuesto y Cuenta Pública	3/3/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110303-VII.html#Iniciativa3
69	Que reforma el artículo 28 de la Ley de Fiscalización y Rendición de Cuentas de la Federación, para autorizar a la ASF a realizar visitas y auditorías de desempeño del gasto público en el momento en que se requieran, y que se den a conocer los resultados de éstas de manera oportuna al Congreso.	presupuesto	Facultar a la ASF para auditorías de desempeño cuando así se requiera. Enviará sus resultados a la C. Diputados para análisis y evaluación	Gerardo del Mazo Morales	Nueva Alianza	Presupuesto y Cuenta Pública	3/3/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110303-VII.html#Iniciativa8
70	Que reforma el artículo 45 de la Ley Federal de Presupuesto y Responsabilidad Hacendaria	presupuesto	Facultar a la Cámara de Diputados para tener acceso en línea al Sistema Integral de Información de los Ingresos y Gasto Público (SII)	Jorge Antonio Kahwagi Macari	Nueva Alianza	Presupuesto y Cuenta Pública	3/3/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110303-VII.html#Iniciativa9
71	Proyecto de decreto que reforma los artículos 72, 73, 78 y 79 de la Ley General de Desarrollo Social.	desarrollo Social, evaluación	La evaluación de la Política de Desarrollo Social se apegará a los principios de objetividad, independencia, imparcialidad y transparencia.	Salinas Claudia Ruíz Massieu 	PRI	Desarrollo Social	3/8/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110303-VIII.html#Iniciativa1
72	Proyecto de decreto que reforma el artículo 176 de la Ley del Impuesto Sobre la Renta.	presupuesto, educación	Otorgar el derecho a los contribuyentes de deducir los pagos de colegiaturas.	Josefina Rodarte Ayala	PRI	Hacienda y Crédito Público	3/8/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110308-VII.html#Iniciativa2
73	Proyecto de decreto que reforma el artículo 27 de la Ley de Coordinación Fiscal.	presupuesto, educación	Suprimir que el monto del Fondo de Aportaciones para la Educación Básica y Normal se determinará a partir de ampliaciones presupuestarias.	Felipe de Jesús Rangel Vargas	PAN	Hacienda y Crédito Público	3/8/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110308-VII.html#Iniciativa28
74	Proyecto de decreto que reforma y adiciona diversas disposiciones del Código Penal Federal y del Código Federal de Procedimientos Penales.	procedimientos penales, violencia de género	Establecer que para el caso de los delitos cometidos contra las mujeres, se considerará como agravante la existencia de violencia feminicida.	Laura Itzel Castillo Juárez	PT	Justicia	3/8/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-IV.html#Iniciativa6
75	Que reforma los artículos 85, 107 y 111 de la Ley Federal de Presupuesto y Responsabilidad Hacendaria	presupuesto, transparencia, evaluación	Acordar medidas para mejorar la ejecución de los recursos presupuestales.   Establecer los requisitos de los informes de su presupuesto.	Claudia Ruiz Massieu Salinas	PRI	Presupuesto y Cuenta Pública	3/8/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-I.html#Iniciativa29
76	Proyecto de decreto que reforma los artículos 21 de la Ley Federal de las Entidades Paraestatales, y 6o., 9o. y 10 de la Ley de la Comision Nacional para el Desarrollo de los Pueblos Indígenas.	Derechos Indígenas	Reformar el proceso de selección de los directores generales de las entidades paraestatales.	Bautista Concepción Sabino	PRI	Asuntos Indígenas	3/9/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-II.html#Iniciativa3
77	Reforma el artículo 183 de la Ley de Desarrollo Rural Sustentable	desarrollo rural	@GobFed asumirá obligación de elevar producción agropecuaria y pesquera para abasto suficiente, a bajo costo y con oportunidad	Francisco Amadeo Espinosa Ramos	PT	Desarrollo Rural	3/9/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-IV.html#Iniciativa8
78	Proyecto de decreto que reforma el artículo 15 de la Ley General para la Igualdad entre Mujeres y Hombres.	equidad de género	Incorporar en los presupuestos de egresos de las entidades federativas y del Distrito Federal, la asignación de recursos para el cumplimiento de la política local en materia de igualdad. 	Ma. Elena Pérez de Tejada Romero 	PAN	Equidad y Género	3/9/11	10/11/11	En Pleno	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110308-VII.html#Iniciativa5
79	Proyecto de decreto que reforma y adiciona diversas disposiciones del Código Penal Federal para tipificar el feminicidio, así como del Código de Procedimientos Penales y la Ley General de Acceso de las Mujeres a una Vida Libre de Violencia.	feminicidios, justicia	Ampliar sanciones a responsables de “feminicidio” , dar más transparencia a la investigación , implementar un registro público de los delitos contra mujeres.	Grupos Parlamentarios (CONJUNTAS)		Equidad y Género, Justicia	3/9/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110309-IV.html#Iniciativa1
80	Proyecto de decreto que reforma los artículos 5o., 6o. y 20 de la Ley de Planeación.	Plan Nacional de Desarrollo	Reformar el procedimiento de la remisión del proyecto del Plan Nacional de Desarrollo. 	César Augusto Santiago Ramírez	PRI	Hacienda y Crédito Público	3/9/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-I.html#Iniciativa14
81	Proyecto de decreto que reforma el artículo décimo transitorio de la Ley del Instituto de Seguridad y Servicios Sociales de los Trabajadores al Servicio del Estado.	seguridad social, 	Ajustar la ley transitoria sobre el derecho a la pensión por jubilación.	Samuel Herrera Chávez	PRD	Hacienda y Crédito Público, Seguridad Social	3/9/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-II.html#Iniciativa11
82	Proyecto de decreto que reforma, adiciona y deroga diversas disposiciones de la Ley de Amparo, Reglamentaria de los Artículos 103 y 107 de la Constitución Política de los Estados Unidos Mexicanos, de la Ley Federal para la Administración y Enajenación de Bienes del Sector Público, de la Ley Federal de Extinción de Dominio, del Código Federal de Procedimientos Penales y del Código Penal Federal, y expide la Ley Federal para la Atención y Protección a Víctimas y Ofendidos por el Delito.	derechos de las víctimas, justicia	Crear un ordenamiento jurídico con el objeto de garantizar los derechos de las víctimas y ofendidos.	Bonifacio Herrera Rivera	PAN	Justicia, Función Pública, Gobernación con Opinión de Presupuesto y Cuenta Pública	3/9/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-III.html#Iniciativa16
83	Que reforma los artículos 42 y 77 de la Ley Federal de Presupuesto y Responsabilidad Hacendaria	control legislativo, presupuesto	Incorporar criterios de participación legislativa en la elaboración de las reglas de operación antes de que entren en vigor.	Pedro Vázquez González	PT	Presupuesto y Cuenta Pública	3/9/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110215-VIII.html#Iniciativa9
84	Que reforma el artículo 93 de la Constitución Política de los Estados Unidos Mexicanos	control legislativo, rendición de cuentas	Las comparecencias d secretarios para informar sobre su labor será en los primeros 45 días naturales del 1er periodo de sesiones de cada año	Claudia Ruiz Massieu Salinas	PRI	Puntos Constitucionales	3/9/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110224-IV.html#Iniciativa18
85	Que reforma y adiciona diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos	derechos indígenas, reforma política	Representación política de pueblos indígenas será por elección directa y repr. pluricultural: 50 diputados y 12 senadores serán indígenas	Domingo Rodríguez Martell	PRD	Puntos Constitucionales	3/9/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-II.html#Iniciativa24
86	Que reforma el artículo 55 de la Constitución Política de los Estados Unidos Mexicanos	derechos políticos, diputados	Disminuir el requisito de edad para ser diputado de veintiún a dieciocho años.	Francisco Amadeo Espinosa Ramos	PT	Puntos Constitucionales	3/9/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110224-IV.html#Iniciativa14
87	Reforma el artículo 29 de la Ley de la Comision Nacional de los Derechos Humanos.	derechos humanos, derechos indígenas	Facultar a la CNDH para proporcionar gratuitamente un intérprete para quienes no hablen o entiendan el español correctamente.	Alba Leonila Méndez Herrera	PAN	Derechos humanos	3/10/11	10/18/11	En Pleno	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110222-A-I.html#Iniciativa7
88	Modifica la denominación del Capítulo I del Título Primero y reforma diversos artículos de la Constitución Política de los Estados Unidos Mexicanos.	derechos humanos, reforma constitucional, tratados internacionales	Incorpora el derecho a gozar de los derechos humanos reconocidos en la Constitución y en los tratados internacionales que México suscribe	Senadores	Senadores	Derechos humanos, Puntos constitucionales	3/10/11	3/23/11	Aprobada	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110310-IX.pdf, http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/DOF10JUN2011-RefoConstDerechosHumanos.doc
89	Reforma y adiciona diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos, de la Ley de la Comision Nacional de los Derechos Humanos y de la Ley Federal del Trabajo.	derechos humanos, reforma constitucional, derechos laborales	Facultar a organismos de protección los derechos humanos para conocer asuntos laborales. Reconocer derechos laborales como derechos humanos	Rodolfo Lara Lagunas	PRD	Derechos Humanos, Puntos Constitucionales, Trabajo y Previsión Social.	3/10/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110310-II.html#Iniciativa21
90	Proyecto de decreto que reforma los artículos 27 de la Ley General de Educación y 39 de la Ley de Coordinación Fiscal.	energía, educación 	Exentar del pago de energía eléctrica a los inmuebles públicos en los que se presten servicios de educación básica. 	 Pedro Jiménez León	Convergencia	Educación Pública y Servicios Educativos, Hacienda y Crédito Público	3/10/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110310-II.html#Iniciativa9
91	Que expide la Ley Federal de Archivos	transparencia, acceso a la información	Crear un marco legal contemporáneo que garantice el derecho de acceso a la información para el público a través de archivos administrativos actualizados y confiables.	Mauricio Toledo Gutiérrez	PRD	Gobernación	3/10/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110310-II.html#Iniciativa12
92	Proyecto de decreto que reforma la fracción I del artículo 258 de la Ley Federal de Derechos.	energía, presupuesto	Facultar a la Secretaría de Energía para definir y expedir las reglas de carácter general que explicarán los métodos de ajuste correspondiente a la calidad del crudo.	Bueno Torio Juan (Senadores)		Hacienda y Crédito Público	3/10/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110310-I.html#IniciativaSenadores1
93	Que reforma y adiciona diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos	derechos indígenas, reforma política	Otorgar varios derechos a los pueblos indígenas en cumplimiento de los acuerdos de San Andrés Larráinzar	José Narro Céspedes	PRD	Puntos Constitucionales	3/10/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110310-II.html#Iniciativa16
94	Que reforma el artículo 73 de la Constitución Política de los Estados Unidos Mexicanos	derechos sociales, garantías individuales	Facultar al Congreso de la Unión para legislar en materia de protección de las garantías individuales y derechos sociales	Yolanda de la Torre Valdez	PRI	Puntos Constitucionales	3/15/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110315-VII.html#Iniciativa3
