Sexo,Nombre,Apellidos,Partido,Tipo de elección,Entidad,Distrito,Circunscripción,Teléfono,Extensión,Correo electrónico,Twitter,Comisiones,Bio,Suplente Nombre,Suplente Apellido
M,Antonio De Jesús ,Díaz Athié,Partido Revolucionario Institucional,Mayoría relativa,Chiapas,12,,,,,@aDiazAthie ,,,,
M,Víctor Manuel,Díaz Palacios,Partido Revolucionario Institucional,Mayoría relativa,Puebla,3,,,,,,,,,
M,Juan Manuel,Diez Francos,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,15,,,,,,,,,
M,José Enrique,Doger Guerrero,Partido Revolucionario Institucional,Mayoría relativa,Puebla,6,,,,,,,,,
M,Pedro Ignacio ,Domínguez Zepeda,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,8,,,,,,,,,
M,José Ignacio ,Duarte Murillo,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,2,,,,,,,,María Guadalupe,Orozco Rivera
F,Irma ,Elizondo Ramírez,Partido Revolucionario Institucional,Mayoría relativa,Coahuila,1,,,,,,,,,
M,José Rubén ,Escajeda Jiménez,Partido Revolucionario Institucional,Mayoría relativa,Durango,3,,,,,,,,,
M,Faustino Francisco,Félix Chávez,Partido Revolucionario Institucional,Mayoría relativa,Sonora,6,,,,,,,,,
M,Francisco Javier,Fernández Clamont,Partido Revolucionario Institucional,Mayoría relativa,México,37,,,,,,,,,
M,Julio César,Flemate Ramírez,Partido Revolucionario Institucional,Mayoría Relativa,Zacatecas,2,,,,,,,,,
M,José Luis,Flores Gómez,Partido Revolucionario Institucional,Mayoría relativa,México,10,,,,,,,,,
M,José Luis,Flores Méndez,Partido Revolucionario Institucional,Mayoría relativa,Coahuila,2,,,,,,,,,
M,Patricio,Flores Sandoval,Partido Revolucionario Institucional,Representación proporcional,Jalisco,,1,,,,,,,Carlos Humberto,Castaños Valenzuela
F,Adriana,Fuentes Téllez,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,1,,,,,,,,,
F,Erika Yolanda,Funes Velázquez,Partido Revolucionario Institucional,Representación proporcional,México,,5,,,,,,,Vianey,Melendrez López
M,Heriberto Manuel,Galindo Quiñones,Partido Revolucionario Institucional,Representación proporcional,Sinaloa,,1,,,,@HGalindoQ,,,Raquel,Mota Rodríguez
M,Raúl Santos,Galván Villanueva,Partido Revolucionario Institucional,Representación proporcional,Sinaloa,,1,,,,,,,,
F,Lizbeth Loy,Gamboa Song,Partido Revolucionario Institucional,Representación proporcional,Quintana Roo,,3,,,,@Liz_Gamboa,,,,
F,Mariana,Garay Cabada,Partido Revolucionario Institucional,Mayoría Relativa,Veracruz,19,,,,,,,,,
F,María del Carmen,García de la Cadena Romero,Partido Revolucionario Institucional,Mayoría relativa,Puebla,15,,,,,,,,Gisela Edith,Marín Delgado
F,María de las Nieves,García Fernández,Partido Revolucionario Institucional,Representación proporcional,Oaxaca,,3,,,,,,,,
M,Héctor,García García,Partido Revolucionario Institucional,Mayoría relativa,Nuevo León,11,,,,,,,,,
F,Josefina,García Hernández,Partido Revolucionario Institucional,Mayoría relativa,Puebla,4,,,,,,,,,
F,María del Rocío,García Olmedo,Partido Revolucionario Institucional,Mayoría relativa,Puebla,13,,,,,,,,,
F,María Esther,Garza Moreno,Partido Revolucionario Institucional,Mayoría Relativa,Guanajuato,4,,,,,,,,,
F,Celia Isabel,Gauna Ruíz de León,Partido Revolucionario Institucional,Mayoría relativa,Jalisco,12,,,,,,,,,
F,Blanca Esthela,Gómez Carmona,Partido Revolucionario Institucional,Mayoría relativa,México,23,,,,,,,,María Lucrecia,Arzola Godínez
M,Pedro ,Gómez Gómez,Partido Revolucionario Institucional,Mayoría relativa,Chiapas,2,,,,,,,,,
M,Luis ,Gómez Gómez,Partido Revolucionario Institucional,Mayoría relativa,Chiapas,5,,,,,,,,Ana Sofía,Méndez Noriega
M,Roy Argel,Gómez Olguín,Partido Revolucionario Institucional,Mayoría Relativa,Nayarit,2,,,,,,,,Abraham,Correa Acevedo
F,Amira Gricelda,Gómez Tueme,Partido Revolucionario Institucional,Representación proporcional,Tamaulipas,,2,,,,,,,,
F,Cristina,González Cruz,Partido Revolucionario Institucional,Mayoría relativa,México,39,,,,,,,,,
M,Eligio Cuitláhuac,González Farías,Partido Revolucionario Institucional,Mayoría Relativa,Michoacán,8,,,,,,,,Claudia Janneth,Gámez Gutiérrez
F,Irasema,González Martínez,Partido Revolucionario Institucional,Mayoría relativa,México,24,,,,,,,,,
M,Rafael,González Reséndiz,Partido Revolucionario Institucional,Mayoría Relativa,Jalisco,5,,,,,,,,,
M,Marco Antonio,González Valdez,Partido Revolucionario Institucional,Mayoría relativa,Nuevo León,9,,,,,,,,Israel,Soto Peña
M,Francisco,González Vargas,Partido Revolucionario Institucional,Mayoría relativa,Hidalgo,7,,,,,,,,,
M,Francisco,Grajales Palacios,Partido Revolucionario Institucional,Mayoría Relativa,Chiapas,7,,,,,@pacograjales,,,,
F,Rosalba,Gualito Castañeda,Partido Revolucionario Institucional,Mayoría relativa,México,22,,,,,,,,,
M,Abel,Guerra Garza,Partido Revolucionario Institucional,Mayoría relativa,Nuevo León,3,,,,,,,,Cindy Abril,Arvizu Hernández
M,Javier Filiberto,Guevara González,Partido Revolucionario Institucional,Mayoría relativa,Puebla,14,,,,,,,,,
M,Samuel,Gurrión Matías,Partido Revolucionario Institucional,Mayoría relativa,Oaxaca,7,,,,,,,,María Antonia,García Sanjines
M,Harvey ,Gutiérrez Álvarez,Partido Revolucionario Institucional,Mayoría Relativa,Chiapas,4,,,,,@HarveyGutierrez,,,,
M,Héctor Humberto,Gutiérrez de la Garza,Partido Revolucionario Institucional,Mayoría relativa,Nuevo León,5,,,,,,,,,
M,Gaudencio,Hernández Burgos,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,5,,,,,,,,,
M,Noé,Hernández González,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,14,,,,,,,,Martha Miriam,Rodríguez Tiscareño
F,Adriana,Hernández Íñiguez,Partido Revolucionario Institucional,Mayoría Relativa,Michoacán,5,,,,,,,,,
F,Myrna Esmeralda,Hernández Morales,Partido Revolucionario Institucional,Mayoría relativa,Hidalgo,6,,,,,,,,,
M,Gerardo Xavier,Hernández Tapia,Partido Revolucionario Institucional,Mayoría relativa,México,40,,,,,,,,Mayra,Moreno Benítez
M,Jorge,Herrera Delgado,Partido Revolucionario Institucional,Mayoría relativa,Durango,4,,,,,,,,,
M,Gilberto Antonio ,Hirata Chico,Partido Revolucionario Institucional,Mayoría Relativa,Baja California,3,,,,,@gilbertohiratac,,,Diana de Carmen,Vera Ávila
F,María de Jesús,Huerta Rea,Partido Revolucionario Institucional,Representación proporcional,Nuevo León,,2,,,,@maryhuertarea,,,,
M,Alfonso,Inzunza Montoya,Partido Revolucionario Institucional,Mayoría relativa,Sinaloa,3,,,,,,,,,
M,Juan Marcos,Issa Salomón,Partido Revolucionario Institucional,Mayoría relativa,Coahuila,5,,,,,,,,Ana Paola,López Birlain
M,Raymundo,King de la Rosa,Partido Revolucionario Institucional,Mayoría relativa,Quintana Roo,2,,,,,,,,Rocío,Baca Bonifaz
M,Gerardo,Liceaga Arteaga,Partido Revolucionario Institucional,Mayoría relativa,México,2,,,,,,,,,
M,Jaime Chris,López Alvarado,Partido Revolucionario Institucional,Mayoría Relativa,Baja California,6,,,,,,,,,
M,Tomás,López Landero,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,18,,,,,,,,Genaro,Rodríguez Teniente
M,Javier,López Zavala,Partido Revolucionario Institucional,Representación proporcional,Puebla,,4,,,,@JavierLZavala,,,Ofelia,Zumaya Ahumada
M,Raúl,Macías Sandoval,Partido Revolucionario Institucional,Representación proporcional,México,,5,,,,,,,,
F,Arely,Madrid Tovilla,Partido Revolucionario Institucional,Representación proporcional,Chiapas,,3,,,,@Arely_Madrid,,,,
F,María Angélica,Magaña Zepeda,Partido Revolucionario Institucional,Mayoría Relativa,Jalisco,17,,,,,,,,,
M,Fernando Alfredo,Maldonado Hernández,Partido Revolucionario Institucional,Mayoría relativa,México,18,,,,,,,,,
M,José Sergio,Manzur Quiroga,Partido Revolucionario Institucional,Mayoría relativa,México,9,,,,,,,,,
M,José Luis,Márquez Martínez,Partido Revolucionario Institucional,Mayoría relativa,Puebla,2,,,,,,,,,
F,Silvia,Márquez Velasco,Partido Revolucionario Institucional,Mayoría relativa,México,14,,,,,,,,,
F,Esther Angélica,Martínez Cárdenas,Partido Revolucionario Institucional,Mayoría Relativa,San Luis Potosí,2,,,,,,,,Ofelia,Limón Robles
F,Nuvia Magdalena,Mayorga Delgado,Partido Revolucionario Institucional,Representación proporcional,Hidalgo,,5,,,,@Nuvia_Mayorga,,,Aydmé Adriana,Ortiz Rodríguez
F,María Leticia,Mendoza Curiel,Partido Revolucionario Institucional,Mayoría relativa,Jalisco,9,,,,,,,,Susana,Muñoz García
M,Jorge,Mendoza Garza,Partido Revolucionario Institucional,Representación proporcional,Nuevo León,,2,,,,,,,Yadira Asucena,Salas Aguilar
F,Sonia Catalina,Mercado Gallegos,Partido Revolucionario Institucional,Mayoría relativa,Durango,1,,,,,,,,,
F,Emilse,Miranda Munive,Partido Revolucionario Institucional,Mayoría relativa,Hidalgo,4,,,,,,,,,
M,José Alejandro,Montano Guzmán,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,8,,,,,,,,Elsa Yolanda,Borrego Cedillo
M,Abraham,Montes Alvarado,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,5,,,,,,,,Fernando,Galván Martínez
M,Jesús,Morales Flores,Partido Revolucionario Institucional,Mayoría relativa,Puebla,7,,,,,,,,,
M,José Isidro,Moreno Árcega,Partido Revolucionario Institucional,Mayoría relativa,México,13,,,,,,,,José Dolores,González Ortiz
M,Rafael Alejandro,Moreno Cárdenas,Partido Revolucionario Institucional,Representación proporcional,Campeche,,3,,,,@alitomorenoc,,,,
F,Pilar,Moreno Montoya,Partido Revolucionario Institucional,Mayoría Relativa,Aguascalientes,1,,,,,@Jpilarmoreno,,,Rosalinda,Camacho Esquivel
F,Dulce María,Muñiz Martínez,Partido Revolucionario Institucional,Mayoría relativa,Hidalgo,2,,,,,,,,,
M,Felipe de Jesús,Muñoz Kapamas,Partido Revolucionario Institucional,Representación proporcional,Distrito Federal,,4,,,,,,,,
M,Luis Alfredo ,Murguía Lardizabal,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,4,,,,,,,,,
M,Jesús ,Murillo Karam,Partido Revolucionario Institucional,Representación proporcional,Hidalgo,,5,,,,,,,,
M,José Everardo,Nava Gómez,Partido Revolucionario Institucional,Mayoría Relativa,San Luis Potosí,1,,,,,,,,,
F,Ma. Concepción,Navarrete Vital,Partido Revolucionario Institucional,Mayoría Relativa,Guanajuato,11,,,,,,,,,
M,César Reynaldo,Navarro de Alba,Partido Revolucionario Institucional,Mayoría relativa,México,12,,,,,,,,,
M,Ossiel Omar,Niáves López,Partido Revolucionario Institucional,Mayoría Relativa,Jalisco,15,,,,,,,,,
F,Gloria Elizabeth,Núñez Sánchez,Partido Revolucionario Institucional,Mayoría Relativa,Nayarit,3,,,,,,,,,
M,Williams Oswaldo,Ochoa Gallegos,Partido Revolucionario Institucional,Mayoría Relativa,Chiapas,6,,,,,@WillyOchoaG,,,,
M,Arnoldo,Ochoa González,Partido Revolucionario Institucional,Representación proporcional,Colima,,5,,,,@ArnoldoOchoa_,,,,
M,Luis,Olvera Correa,Partido Revolucionario Institucional,Mayoría Relativa ,Michoacán,6,,,,,,,,,
F,María del Carmen,Ordaz Martínez,Partido Revolucionario Institucional,Mayoría relativa,Yucatán,2,,,,,,,,,
F,Guadalupe Socorro,Ortega Pacheco,Partido Revolucionario Institucional,Representación proporcional,Yucatán,,3,,,,,,,,
M,Salvador,Ortíz García,Partido Revolucionario Institucional,Mayoría Relativa ,Michoacán,12,,,,,,,,,
M,Ricardo Fidel,Pacheco Rodríguez,Partido Revolucionario Institucional,Representación proporcional,Durango,,1,,,,,,,,
M,Román Alfredo,Padilla Fierro,Partido Revolucionario Institucional,Mayoría relativa,Sinaloa,1,,,,,,,,,
M,Cesáreo,Padilla Navarro,Partido Revolucionario Institucional,Mayoría Relativa,Jalisco,1,,,,,,,,,
F,Zita Beatriz,Pazzi Maza,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,1,,,,,,,,,
M,Hugo Mauricio ,Pérez Anzueto,Partido Revolucionario Institucional,Mayoría Relativa,Chiapas,11,,,,,@AnzuetoDiputado ,,,,
M,José Noel,Pérez de Alba,Partido Revolucionario Institucional,Mayoría relativa,Jalisco,2,,,,,,,,,
F,Elvia María,Pérez Escalante,Partido Revolucionario Institucional,Representación proporcional,Campeche,,3,,,,,,,,
F,Norma,Ponce Orozco,Partido Revolucionario Institucional,Mayoría relativa,México,16,,,,,,,,,
M,Eduardo Román,Quian Alcocer,Partido Revolucionario Institucional,Mayoría relativa,Quintana Roo,1,,,,,,,,,
F,Socorro de la Luz,Quintana León,Partido Revolucionario Institucional,Mayoría Relativa,Michoacán,9,,,,,,,,,
F,Lourdes Eulalia,Quiñones Canales,Partido Revolucionario Institucional,Representación proporcional,Durango,,1,,,,@lourdesquinones,,,,
M,José,Rangel Espinosa,Partido Revolucionario Institucional,Mayoría relativa,México,3,,,,,,,,,
M,Alejandro ,Rangel Segovia,Partido Revolucionario Institucional,Mayoría Relativa,Guanajuato,9,,,,,,,,,
F,Tania,Rellstab Carreto,Partido Revolucionario Institucional,Mayoría relativa,México,35,,,,,,,,,
F,Patricia Elena,Retamoza Vega,Partido Revolucionario Institucional,Representación proporcional,Jalisco,,1,,,,@pattyretamoza,,,,
F,Mayra Karina ,Robles Aguirre,Partido Revolucionario Institucional,Mayoría Relativa,Baja California,8,,,,,,,,,
M,Juan Manuel,Rocha Piedad,Partido Revolucionario Institucional,Mayoría relativa,Nayarit,1,,,,,,,,,
M,José Antonio,Rojo García de Alba,Partido Revolucionario Institucional,Mayoría relativa,Hidalgo,5,,,,,,,,,
M,Jesús Tolentino,Román Bojórquez,Partido Revolucionario Institucional,Mayoría relativa,México,25,,,,,,,,,
M,Salvador,Romero Valencia,Partido Revolucionario Institucional,Mayoría relativa,Michoacán,4,,,,,,,,,
M,Blas Ramón,Rubio Lara,Partido Revolucionario Institucional,Mayoría relativa,Sinaloa,4,,,,,,,,,
M,Genaro,Ruiz Arriaga,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,3,,,,,,,,,
M,Roberto,Ruiz Moronatti,Partido Revolucionario Institucional,Mayoría relativa,México,6,,,,,,,,,
F,Cristina,Ruiz Sandoval,Partido Revolucionario Institucional,Mayoría relativa,México,21,,,,,,,,,
M,Mauricio,Sahui Rivero,Partido Revolucionario Institucional,Mayoría relativa,Yucatán,3,,,,,,,,,
M,Fernando,Salgado Delgado,Partido Revolucionario Institucional,Representación proporcional,México,,5,,,,@CentroInforCTM,,,,
M,Abel Octavio,Salgado Peña,Partido Revolucionario Institucional,Mayoría relativa,Jalisco,6,,,,,,,,,
M,Leopoldo,Sánchez Cruz,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,2,,,,,,,,,
M,Carlos,Sánchez Romero,Partido Revolucionario Institucional,Mayoría relativa,Puebla,5,,,,,,,,,
F,María Guadalupe,Sánchez Santiago,Partido Revolucionario Institucional,Mayoría Relativa,Tlaxcala,1,,,,,,,,,
F,María Fernanda ,Schroeder Verdugo,Partido Revolucionario Institucional,Mayoría Relativa,Baja California,2,,,,,@FernandaSchVer,,Cirujana Dentista,,
M,William Renán,Sosa Altamira,Partido Revolucionario Institucional,Mayoría Relativa,Yucatán,1,,,,,,,,,
F,María Rebeca,Terán Guevara,Partido Revolucionario Institucional,Mayoría relativa,San Luis Potosí,7,,,,,,,,,
M,Jorge,Terán Juárez,Partido Revolucionario Institucional,Mayoría relativa,San Luis Potosí,4,,,,,,,,,
M,Sergio,Torres Félix,Partido Revolucionario Institucional,Mayoría relativa,Sinaloa,7,,,,,,,,,
M,Javier,Treviño Cantú,Partido Revolucionario Institucional,Representación proporcional,Nuevo León,,2,,,,,,,,
M,Pedro Pablo,Treviño Villarreal,Partido Revolucionario Institucional,Mayoría relativa,Nuevo León,12,,,,,,,,,
F,Aurora Denisse,Ugalde Alegría,Partido Revolucionario Institucional,Mayoría relativa,México,19,,,,,,,,,
M,Simón,Valanci Buzali,Partido Revolucionario Institucional,Representación proporcional,Chiapas,,3,,,,,,,,
M,Jesús Antonio,Valdés Palazuelos,Partido Revolucionario Institucional,Mayoría relativa,Sinaloa,5,,,,,,,,,
F,Laura Guadalupe,Vargas Vargas,Partido Revolucionario Institucional,Mayoría relativa,Puebla,1,,,,,,,,,
M,Martín de Jesús,Vásquez Villanueva,Partido Revolucionario Institucional,Representación proporcional,Oaxaca,,3,,,,,,,,
M,Ponciano,Vázquez Parissi,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,21,,,,,,,,,
F,Regina,Vázquez Saut,Partido Revolucionario Institucional,Mayoría relativa,Veracruz,20,,,,,,,,,
M,Marco Alonso,Vela Reyes,Partido Revolucionario Institucional,Mayoría relativa,Yucatán,5,,,,,,,,,
M,Víctor Hugo,Velasco Orozco,Partido Revolucionario Institucional,Mayoría relativa,Hidalgo,3,,,,,,,,,
F,María Guadalupe,Velázquez Díaz,Partido Revolucionario Institucional,Mayoría Relativa,Guanajuato,7,,,,,,,,,
F,Diana Karina,Velázquez Ramírez,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,9,,,,,,,,,
F,Maricela,Velázquez Sánchez,Partido Revolucionario Institucional,Representación proporcional,Morelos,,4,,,,@MaricelaMVS,,,,
F,Blanca María,Villaseñor Gudiño,Partido Revolucionario Institucional,Representación proporcional,Michoacán,,5,,,,,,,,
F,María de la Paloma,Villaseñor Vargas,Partido Revolucionario Institucional,Representación proporcional,Distrito Federal,,4,,,,,,,,
F,Alma Marina,Vitela Rodríguez,Partido Revolucionario Institucional,Mayoría relativa,Durango,2,,,,,,,,,
M,Darío,Zacarías Capuchino,Partido Revolucionario Institucional,Mayoría relativa,México,5,,,,,,,,,
M,Fernando,Zamora Morales,Partido Revolucionario Institucional,Mayoría relativa,México,26,,,,,,,,,
M,Francisco Alberto ,Zepeda González,Partido Revolucionario Institucional,Mayoría relativa,Colima,2,,,,,,,,,
F,Rocío Adriana ,Abreu Artiñano,Partido Verde Ecologista de México,Mayoría relativa,Campeche,2,,,,,@RAbreuA,,,,
M,Rubén,Acosta Montoya ,Partido Verde Ecologista de México,Representación proporcional,Chihuahua,,1,,,,,,,,
M,Ricardo,Astudillo Suárez,Partido Verde Ecologista de México,Mayoría Relativa,Querétaro,2,,,,,,,,,
M,Enrique,Aubry de Castro Palomino,Partido Verde Ecologista de México,Mayoría Relativa,Jalisco,14,,,,,,,,,
M,Joaquín,Caballero Rosiñol,Partido Verde Ecologista de México,Mayoría Relativa,Veracruz,11,,,,,,,,,
M,Felipe Arturo,Camarena García,Partido Verde Ecologista de México,Mayoría Relativa,Guanajuato,12,,,,,,,,,
F,Verónica,Carreón Cervantes,Partido Verde Ecologista de México,Mayoría Relativa,Veracruz,7,,,,,,,,,
M,Antonio,Cuéllar Steffan,Partido Verde Ecologista de México,Representación proporcional,Aguascalientes,,2,,,,,,,,
M,Arturo,Escobar y Vega,Partido Verde Ecologista de México,Representación proporcional,Distrito Federal,,4,,,,,,,,
F,Mónica,García de la Fuente,Partido Verde Ecologista de México,Representación proporcional,Aguascalientes,,2,,,,,,,,
F,Ana Lilia,Garza Cadena,Partido Verde Ecologista de México,Representación proporcional,Baja California,,1,,,,,,,,
M,Gabriel,Gómez Michel,Partido Verde Ecologista de México,Mayoría Relativa,Jalisco,18,,,,,,,,,
F,Cecilia,González Gómez,Partido Verde Ecologista de México,Mayoría Relativa,Jalisco,3,,,,,,,,,
M,Federico José,González Luna Bueno,Partido Verde Ecologista de México,Representación proporcional,Veracruz,,3,,,,,,,,
F,Judith Magdalena,Guerrero López,Partido Verde Ecologista de México,Mayoría Relativa ,Zacatecas,3,,,,,,,,,
F,Lourdes Adriana ,López Moreno,Partido Verde Ecologista de México,Mayoría Relativa,Chiapas,1,,,,,,,Abogada,,
M,Raciel,López Salazar,Partido Verde Ecologista de México,Representación proporcional,Chiapas,,3,,,,,,,,
F,Laura Ximena,Martel Cantú,Partido Verde Ecologista de México,Representación proporcional,Distrito Federal,,4,,,,,,,,
F,Gabriela,Medrano Galindo,Partido Verde Ecologista de México,Representación proporcional,Quintana Roo,,3,,,,,,,,
M,Héctor ,Narcia Álvarez,Partido Verde Ecologista de México,Mayoría Relativa,Chiapas,10,,,,,@NarciaHector ,,,,
M,Ernesto,Núñez Aguilar,Partido Verde Ecologista de México,Mayoría Relativa,Michoacán,10,,,,,,,,,
M,Nabor,Ochoa López,Partido Verde Ecologista de México,Representación proporcional,Colima,,5,,,,,,,María del Carmen,Pérez Jiménez
M,Javier,Orozco Gómez,Partido Verde Ecologista de México,Representación proporcional,Estado de México,,5,,,,,,,,
F,Carla Alicia,Padilla Ramos,Partido Verde Ecologista de México,Representación proporcional,Estado de México,,5,,,,,,,,
F,María Del Rosario De Fátima ,Pariente Gavito,Partido Verde Ecologista de México,Mayoría Relativa,Chiapas,9,,,,,@RosarioPariente,,,,
F,Rosa Elba,Pérez Hernández,Partido Verde Ecologista de México,Mayoría Relativa,Guanajuato,6,,,,,,,,,
M,David ,Pérez Tejada Padilla,Partido Verde Ecologista de México,Mayoría Relativa,Baja California,7,,,,,,,,,
M,Oscar Eduardo ,Ramírez Aguilar,Partido Verde Ecologista de México,Mayoría relativa,Chiapas,8,,,,,,,,,
F,Bárbara Gabriela,Romo Fonseca,Partido Verde Ecologista de México,Mayoría Relativa,Zacatecas,4,,,,,,,,,
M,José Miguel,Sámano Peralta,Partido Verde Ecologista de México,Mayoría relativa,México,1,,,,,,,,,
M,Tomás,Torres Mercado,Partido Verde Ecologista de México,Representación proporcional,Zacatecas,,2,,,,,,,,
M,Amilcar Augusto,Villafuerte Trujillo,Partido Verde Ecologista de México,Mayoría Relativa,Chiapas,3,,,,,,,,,
F,Martha Edith,Vital Vera,Partido Verde Ecologista de México,Representación proporcional,Chiapas,,3,,,,,,,,
F,Ruth ,Zavaleta Salgado,Partido Verde Ecologista de México,Representación proporcional,Distrito Federal,,4,,,,,,,,