'Accion Popular'	'doc/partidos/accion_popular.gif'
'Agrupacion Independiente Si Cumple'	'doc/partidos/agrupacion_independiente_si_cumple.jpg'
'Alianza para el Progreso'	'doc/partidos/alianza_para_el_progreso.png'
'Cambio 90'	'doc/partidos/cambio_90.jpeg'
'Cambio Radical'	'doc/partidos/cambio_radical.jpeg'
'Despertar Nacional'	'doc/partidos/despertar_nacional.jpeg'
'Fonavistas del Peru'	'doc/partidos/fonavistas_del_peru.jpeg'
'Fuerza 2011'	'doc/partidos/fuerza_2011.jpeg'
'Fuerza Nacional'	'doc/partidos/fuerza_nacional.jpeg'
'Participacion Popular'	'doc/partidos/participacion_popular.jpeg'
'Partido Aprista Peruano'	'doc/partidos/partido_aprista_peruano.png'
'Partido Democratico Somos Peru'	'doc/partidos/partido_democratico_somos_peru.jpeg'
'Partido Humanista Peruano'	'doc/partidos/partido_humanista_peruano.jpeg'
'Partido Politico Adelante'	'doc/partidos/partido_politico_adelante.jpeg'
'Partido Popular Cristiano'	'doc/partidos/partido_popular_cristiano.jpg'
'Peru Posible'	'doc/partidos/peru_posible.jpeg'
'Renovacion Nacional'	'doc/partidos/renovacion_nacional.jpeg'
'Restauracion Nacional'	'doc/partidos/restauracion_social.jpg'
'Siempre Unidos'	'doc/partidos/siempres_unidos.jpeg'
'Solidaridad Nacional'	'doc/partidos/solidaridad_nacional.jpg'
'Union por el Peru'	'doc/partidos/union_por_el_peru.jpeg'
'Movimiento Nueva Izquierda'	'doc/partidos/movimiento_nueva_izquierda.jpeg'
'Todos por el Peru'	'doc/partidos/todos_por_el_peru.jpeg'
'Frente Popular Agricola Fia del Peru'	'doc/partidos/frente_popular_agricola_la_fia_del_peru.jpeg'
'Partido Descentralista Fuerza Social'	'doc/partidos/partido_descentralista_fuerza_social.jpg'
'Gana Peru'	'doc/partidos/gana_peru.jpeg'
'Justicia, Tecnologia, Ecologia'	'doc/partidos/justicia_tecnologia_ecologia.jpeg'
'Movimiento Regional De Las Manos Limpias'	'http://www.eleccionesenperu.com/img/movimiento-regional/lambayeque/SIMBOLO-LOGO-MOVIMIENTO-REGIONAL-DE-LAS-MANOS-LIMPIAS.jpg'
'Movimiento Regional Accion Regional'	'http://www.eleccionesenperu.com/img/movimiento-regional/piura/SIMBOLO-LOGO-MOVIMIENTO-ACCION-REGIONAL.jpg'
'Movimiento Regional Nueva Amazonia'	'http://www.eleccionesenperu.com/img/movimiento-regional/san-martin/SIMBOLO-LOGO-NUEVA-AMAZONIA.jpg'
'Movimiento Regional Fuerza Comunal'	'http://www.eleccionesenperu.com/img/movimiento-regional/san-martin/SIMBOLO-LOGO-FUERZA-COMUNAL.jpg'
'Gran Alianza Nacionalista Cusco'	'http://www.infogob.com.pe/Partido/ImgHandler.ashx?imgid=2092'
'Movimiento Regional Patria Arriba Perú Adelante'	'http://www.eleccionesenperu.com/img/movimiento-regional/cusco/SIMBOLO-LOGO-PATRIA-ARRIBA-PERU-ADELANTE.jpg'
'Movimiento Regional Pan'	'http://www.eleccionesenperu.com/img/movimiento-regional/cusco/SIMBOLO-LOGO-MOVIMIENTO-REGIONAL-PAN.jpg'
'Movimiento Regional Inka Pachakuteq'	'http://www.eleccionesenperu.com/img/movimiento-regional/cusco/simbolo-movimiento-regional-inka-pachakuteq.jpg'
'Movimiento Regional Tierra y Libertad'	'http://www.eleccionesenperu.com/img/movimiento-regional/lambayeque/SIMBOLO-LOGO-MOVIMIENTO-TIERRA-Y-LIBERTAD-LAMBAYEQUE.jpg'
'Movimiento Regional Autogobierno Ayllu'	'http://www.eleccionesenperu.com/img/movimiento-regional/cusco/simbolo-autogobierno-ayllu.jpg'
'Movimiento Regional Acuerdo Popular Unificado'	'http://www.eleccionesenperu.com/img/movimiento-regional/cusco/SIMBOLO-LOGO-MOVIMIENTO-REGIONAL-ACUERDO-POPULAR-UNIFICADO.jpg'
'Movimiento Regional Luchemos Por Tumbes'	'http://www.eleccionesenperu.com/img/movimiento-regional/tumbes/SIMBOLO-LOGO-LUCHEMOS-POR-TUMBES.jpg'
'Movimiento Regional Nueva Alternativa'	'http://www.eleccionesenperu.com/img/movimiento-regional/tumbes/SIMBOLO-LOGO-NUEVA-ALTERNATIVA.jpg'
'Movimiento Regional Zarumilla Rumbo Al Cambio'	'http://www.eleccionesenperu.com/img/movimiento-regional/tumbes/SIMBOLO-LOGO-NUEVA-ALTERNATIVA.jpg'